Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
1.534742832,-75.48444,-8.883727,-17.28061,0.05538209,-1.006262,0.0587363,1.818746,42.33224,7.892432,992.2454
1.542351723,-71.76877,-7.884173,-13.36207,0.04416724,-0.9908916,-0.0002213884,1.818746,42.33224,7.892432,992.2454
1.549960613,-60.12633,-8.942524,-10.7293,0.04299212,-0.98443,-0.02197389,1.818746,42.33224,7.892432,992.2454
1.557569504,-54.98631,-7.178606,-7.239356,0.0296401,-0.9730129,0.03002217,1.818746,42.33224,7.892432,992.2454
1.565178871,-46.81184,-5.297092,-5.280087,-0.01338526,-0.9812248,-0.02630442,0.7810678,41.16961,12.3121,992.2454
1.572787285,-40.12363,-7.061011,-3.259592,-9.124834E-05,-0.9918014,-0.01302655,0.7810678,41.16961,12.3121,992.2454
1.580398083,-32.44457,-5.120701,-1.606459,-0.003504991,-1.007071,-0.03624375,0.7810678,41.16961,12.3121,992.2437
1.590541840,-19.31586,-2.651215,1.761034,-0.008643033,-1.028857,-0.03573797,0.7810678,41.16961,12.3121,992.2437
1.598150253,-11.69873,-0.8872965,2.863123,-0.03684697,-1.048677,-0.06957105,0.7810678,41.16961,12.3121,992.2437
1.605759621,1.55383,-1.063688,2.801896,-0.03945053,-1.048752,-0.1688929,0.7810678,41.16961,12.3121,992.2437
