Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
1.500216961,-131.7404,8.557318,-3.71439,-0.01550285,-0.9995378,0.1503574,7.429656,31.47663,12.1836,992.1857
1.507819652,-120.7869,3.292101,-3.530562,-0.06040627,-0.9673837,-0.009999193,7.429656,31.47663,12.1836,992.1857
1.515421867,-110.269,8.379839,-5.859049,-0.08337204,-1.005809,0.1542733,7.429656,31.47663,12.1836,992.1857
1.523024559,-104.2943,7.492443,-9.841988,-0.0348178,-1.058597,0.04551453,7.429656,31.47663,12.1836,992.1857
1.530626774,-94.64767,7.196644,-9.290504,-0.05902687,-1.045376,0.0333756,7.429656,31.47663,12.1836,992.1857
1.540762901,-80.39558,4.711935,-12.47685,-0.041602,-1.014981,-0.04317552,7.429656,31.47663,12.1836,992.1857
1.548365593,-65.58336,3.173782,-13.15089,-0.0372823,-0.9751965,-0.005927932,7.448255,29.90947,15.29125,992.1857
1.555968285,-60.79117,5.83597,-13.08961,-0.009775974,-0.9722215,0.06893292,7.448255,29.90947,15.29125,992.1857
1.563570976,-59.9821,4.830255,-12.96706,-0.03006579,-0.9700093,-0.02127312,7.448255,29.90947,15.29125,992.1857
1.571173668,-50.70891,4.652775,-14.25386,-0.0385776,-1.015403,-0.006002294,7.448255,29.90947,15.29125,992.1857
1.578775406,-41.80913,3.114622,-15.11172,-0.004718472,-1.02377,-0.01695347,7.448255,29.90947,15.29125,992.1857
1.586378097,-33.34501,1.931427,-14.19258,0.01538809,-1.023687,0.008102981,7.448255,29.90947,15.29125,992.1875
1.593980789,-28.49059,1.10319,-12.66068,0.02417053,-1.056939,-0.02708416,7.448255,29.90947,15.29125,992.1875
